Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TrainTime(s),TestTime(s)
Tuned-MLP,0.955,0.9504950495049505,0.96,0.9552238805970149,0.9915,0.9913139911010593,0.4185751999975764,0.0007866000014473684
Tuned-RandomForest,0.955,0.9504950495049505,0.96,0.9552238805970149,0.9908,0.9885823789023874,2.7181208999973023,0.3573633000050904
Tuned-GaussianNB,0.95,0.9591836734693877,0.94,0.9494949494949495,0.9926,0.9926540096284069,0.0018278999996255152,0.0002668000015546568
Tuned-ExtraTrees,0.95,0.96875,0.93,0.9489795918367347,0.9937,0.9935540680197629,1.8810846000051242,0.29997549999825424
Tuned-CatBoost,0.95,0.9787234042553191,0.92,0.9484536082474226,0.9871000000000001,0.9751954314422774,4.247010399994906,0.0036663999999291264
